id,title,description,images,price,category
26,SERGIO TACCHINI HERITECH MENS SILICON STRAP WATCH - ST.1.10235-4,"PRODUCT DETAILS
Case Color: Black
Dial Color: Black
Strap Color: Orange
Function: Multifunction
Gender: Men
Case Material: Stainless Steel
Case Size: 46*53.5MM
Strap Material: Silicon
Band Width: 24*22MM
Dial Type: EMBOSS DIAL WITH REAL INDEX","https://jubilee.ae/cdn/shop/products/ST.1.10235-4_200x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10235-4_400x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10235-4_600x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10235-4_700x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10235-4_800x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10235-4_900x.jpg, https://jubilee.ae/cdn/shop/products/ST.1.10235-4_1000x.jpg",360.00,men
27,BIGOTTI MILANO MENS LEATHER STRAP WATCH - BG.1.10385-5,"PRODUCT DETAILS
Case Color: Steel/Rose Gold
Dial Color: Grey
Strap Color: Black
Function: Multifunction
Gender: Men
Case Material: Brass
Case Size: 45*54MM
Strap Material: Leather
Band Width: 22*20MM
Dial Type: SUNRAY BRUSH DIAL WITH REAL INDEX","https://jubilee.ae/cdn/shop/products/BG.1.10385-5_200x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10385-5_400x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10385-5_600x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10385-5_700x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10385-5_800x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10385-5_900x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10385-5_1000x.jpg",220.00,men
28,G-SHOCK DW-5900BB-1DR DIGITAL BLACK MEN'S WATCH,"DESCRIPTION
G-SHOCK is releasing the DW5900, bringing the look of a historical favorite back to life under a back to-original-basics theme and with the module no. 3465. The design and face colors of the original models have been reproduced for this new version. Basic features include stopwatch and timer, along with an EL backlight and more. Three graphic digital dials are similar to those of DW6900 Series. DW5900BB model features an all black matte look and a negative LCD display.
SPECIFICATIONS
Module No. 3465
Case / bezel material: Resin
Resin Band
Shock Resistant
Mineral Glass
200-meter water resistance
Electro-luminescent backlight
Selectable illumination duration (1.5 seconds or 3 seconds), afterglow
World time
29 time zones (48 cities), daylight saving on/off
1/100-second stopwatch
Measuring capacity: 59'59.99''
Measuring modes: Elapsed time, split time, 1st-2nd place times
Countdown timer
Measuring unit: 1 second
Countdown range: 24 hours
Countdown start time setting range: 1 minute to 24 hours (1-minute increments and 1-hour increments)
5 daily alarms (with 1 snooze alarm)
Hourly time signal
Full auto-calendar (to year 2099)
12/24-hour format
Button operation tone on/off
Regular timekeeping: Hour, minute, second, pm, date, day
Accuracy: ±15 seconds per month
Approx. battery life: 5 years on CR2025
SIZE OF CASE / TOTAL WEIGHT
Size of case : 51.4×46.8×15.5mm
Total weight : 60g
What's included in the set:
G-Shock watch, User's Manual, Gift Box, Warranty","https://jubilee.ae/cdn/shop/products/g-shock-dw-5900bb-1dr-digital-black-mens-watch-622_200x.jpg, https://jubilee.ae/cdn/shop/products/g-shock-dw-5900bb-1dr-digital-black-mens-watch-622_400x.jpg",415.00,men
29,DANIEL KLEIN MENS SUNGLASSES - DK3190C4,,"https://jubilee.ae/cdn/shop/products/DK3190C4_200x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_400x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_600x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_700x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_800x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_900x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_1000x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_1200x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_1400x.png, https://jubilee.ae/cdn/shop/products/DK3190C4_1600x.png",117.00,men
30,DANIEL KLEIN D-TIME MENS STAINLESS STEEL STRAP WATCH - DK.1.12408-7,"PRODUCT DETAILS

Case Color: Black
Dial Color: Gun Metal
Strap Color: Black
Function: Analog-Digital
Gender: Men
Case Material: Metal
Case Size: 46*55MM
Strap Material: Stainless Steel
Band Width: 22*20MM
Dial Type: DIGITAL DIAL","https://jubilee.ae/cdn/shop/products/DK.1.12408-7_200x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.12408-7_400x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.12408-7_600x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.12408-7_700x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.12408-7_800x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.12408-7_900x.jpg, https://jubilee.ae/cdn/shop/products/DK.1.12408-7_1000x.jpg",154.00,men
31,BIGOTTI NAPOLI MENS STAINLESS STEEL STRAP WATCH - BG.1.10266-2,"PRODUCT DETAILS
Case Color: Steel
Dial Color: Black
Strap Color: Steel
Function: Day and Date
Gender: Men
Case Material: Brass
Case Size: 45*53.8MM
Strap Material: Stainless Steel
Band Width: 22*20MM
Dial Type: EMBOSS DIAL WITH UP INDEX","https://jubilee.ae/cdn/shop/products/BG.1.10266-2_200x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10266-2_400x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10266-2_600x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10266-2_700x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10266-2_800x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10266-2_900x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10266-2_1000x.jpg",200.00,men
32,G-SHOCK MENS CASIOAK NEON ACCENT SERIES WATCH - GA-2100-1A2DR,"Make a splash with color set against matte black in a special design that pops with neon accents.
The octagonal shape and streamlined design of the GA-2100 puts on textured matte black and vibrant neon color for a stylishly cool new look. Hour and minute hands with phosphorescent paint stay visible in the dark to keep you on your game all day and night.
Basic Information
CASE SIZE (L× W× H)
48.5 × 45.4 × 11.8 mm
WEIGHT
51 g
CASE AND BEZEL MATERIAL
Case / bezel material: Carbon / Resin
BAND
Resin Band
CONSTRUCTION
Shock Resistant
Carbon Core Guard structure
WATER RESISTANCE
200-meter water resistance
POWER SUPPLY AND BATTERY LIFE
Approx. battery life: 3 years on SR726W X 2
Exterior
GLASS
Mineral Glass
Watch Features
WORLD TIME
World time 31 time zones (48 cities + coordinated universal time), daylight saving on/off
STOPWATCH
1/100-second stopwatch Measuring capacity: 00'00''00~59'59''99 (for the first 60 minutes) 1:00'00~23:59'59 (after 60 minutes) Measuring unit: 1/100 second (for the first 60 minutes) 1 second (after 60 minutes) Measuring modes: Elapsed time, split time, 1st-2nd place times
TIMER
Countdown timer Measuring unit: 1 second Countdown range: 24 hours Countdown start time setting range: 1 second to 24 hours (1-second increments, 1-minute increments and 1-hour increments)
ALARM/HOURLY TIME SIGNAL
5 daily alarms
Hourly time signal
LIGHT
Double LED light LED light for the face (Super illuminator, selectable illumination duration (1.5 seconds or 3 seconds), afterglow) LED backlight for the digital display (Super illuminator, selectable illumination duration (1.5 seconds or 3 seconds), afterglow)
LIGHT COLOR
LED:White
CALENDAR
Full auto-calendar (to year 2099)
MUTE FEATURE
Button operation tone on/off
ACCURACY
Accuracy: ±15 seconds per month
OTHER FEATURES
12/24-hour format
Hand shift feature (Hands move out of the way to provide an unobstructed view of digital display contents.)
Regular timekeeping: Analog: 2 hands (hour, minute (hand moves every 20 seconds)), 1 dial (day) Digital: Hour, minute, second, pm, month, date","https://jubilee.ae/cdn/shop/products/GA-2100-1A2_front_200x.jpg, https://jubilee.ae/cdn/shop/products/GA-2100-1A2_front_400x.jpg, https://jubilee.ae/cdn/shop/products/GA-2100-1A2_front_600x.jpg, https://jubilee.ae/cdn/shop/products/GA-2100-1A2_front_700x.jpg, https://jubilee.ae/cdn/shop/products/GA-2100-1A2_front_800x.jpg, https://jubilee.ae/cdn/shop/products/GA-2100-1A2_front_900x.jpg",535.00,men
33,CASIO VINTAGE MENS SILVER-TONE STAINLESS STEEL STRAP WATCH - AQ-230A-7DHDF,"FEATURES
• Dual time
• 1/100-second stopwatch
• Day and date display at 6 o’clock

SPECIFICATIONS
Case / bezel material: Resin / Chrome plated
Adjustable Clasp
Stainless Steel Band
Resin Glass
Water Resistant
Dual time
1/100-second stopwatch
Measuring capacity: 59'59.99""
Measuring mode: Elapsed time
Daily alarm
Hourly time signal
Auto-calendar (28 days for February)
12/24-hour format
Regular timekeeping
Analog: 2 hands (Hour, minute)
Digital: Hour, minutes, seconds, pm, month, date, day
Accuracy: ±30 seconds per month
Approx. battery life: 3 years on SR920W

SIZE OF CASE / TOTAL WEIGHT
Size of case : 38.8×29.8×8.1mm
Total weight : 47g","https://jubilee.ae/cdn/shop/products/unnamed_f338dba4-0681-4d93-b1c8-78860f6a6e8c_200x.jpg, https://jubilee.ae/cdn/shop/products/unnamed_f338dba4-0681-4d93-b1c8-78860f6a6e8c_400x.jpg",99.20,men
34,DANIEL KLEIN MENS SUNGLASSES - DK3221C3,,"https://jubilee.ae/cdn/shop/products/DK3221C3_200x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_400x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_600x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_700x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_800x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_900x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_1000x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_1200x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_1400x.png, https://jubilee.ae/cdn/shop/products/DK3221C3_1600x.png",78.00,men
35,BIGOTTI MENS DAY AND DATE LEATHER STRAP WATCH - BG.1.10046-3,"PRODUCT DETAILS

Case Color: Steel
Dial Color: Gun Metal
Strap Color: Black
Function: Day and Date
Gender: Men
Case Material: Brass
Case Size: 43*50.5MM
Strap Material: Leather
Band Width: 22*20MM
Dial Type: EMBOSS DIAL WITH PATTERN AND PRINTING INDEX","https://jubilee.ae/cdn/shop/products/BG.1.10046-3_200x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10046-3_400x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10046-3_600x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10046-3_700x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10046-3_800x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10046-3_900x.jpg, https://jubilee.ae/cdn/shop/products/BG.1.10046-3_1000x.jpg",112.00,men
